Id;ActiveDate;EndDate;MSSubClass;MSZoning;LotFrontage;LotArea;Street;Alley;LotShape;LandContour;Utilities;LotConfig;LandSlope;Neighborhood;Condition1;Condition2;BldgType;HouseStyle;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;RoofMatl;Exterior1st;Exterior2nd;MasVnrType;MasVnrArea;ExterQual;ExterCond;Foundation;BsmtQual;BsmtCond;BsmtExposure;BsmtFinType1;BsmtFinSF1;BsmtFinType2;BsmtFinSF2;BsmtUnfSF;Heating;HeatingQC;CentralAir;Electrical;1stFlrSF;2ndFlrSF;LowQualFinSF;BsmtFullBath;BsmtHalfBath;FullBath;HalfBath;BedroomAbvGr;KitchenAbvGr;KitchenQual;TotRmsAbvGrd;Functional;Fireplaces;FireplaceQu;GarageType;GarageYrBlt;GarageFinish;GarageCars;GarageArea;GarageQual;GarageCond;PavedDrive;WoodDeckSF;OpenPorchSF;EnclosedPorch;3SsnPorch;ScreenPorch;PoolArea;PoolQC;Fence;MiscFeature;MiscVal;SaleType;SaleCondition;SalePrice;DateSold;MonthSold;YearSold;TotalBsmtSF;TotalLivingArea;HouseAge
1;1970-01-01;1970-01-01;60.0;rl;65.0;8450;pave;‘’;reg;lvl;allpub;inside;gtl;collgcr;norm;norm;1fam;2story;7;5;2003;2003;gable;compshg;vinylsd;vinylsd;brkface;196.0;0.8;0.5;pconc;0.8;0.5;no;glq;706;unf;0;150;gasa;1.0;1.0;sbrkr;856;854;0;1.0;0;2;1.0;3;1;0.8;8;typ;0;‘’;attchd;2003.0;rfn;2;548;0.5;0.5;1.0;0;61;0;0;0;0;‘’;‘’;0;0;wd;normal;208500.0;2008-02-20;2;2008;856;1710;20
2;1970-01-01;1970-01-01;0.0;rl;80.0;9600;pave;‘’;reg;lvl;allpub;fr2;gtl;veenker;feedr;norm;1fam;1story;6;8;1976;1976;gable;compshg;metalsd;metalsd;none;0.0;0.5;0.5;cblock;0.8;0.5;0.8;alq;978;unf;0;284;gasa;1.0;1.0;sbrkr;1262;0;0;0.0;1;2;0.0;3;1;0.5;6;typ;1;0.5;attchd;1976.0;rfn;2;460;0.5;0.5;1.0;298;0;0;0;0;0;‘’;‘’;0;0;wd;normal;181500.0;2007-05-20;5;2007;1262;1262;47
3;2018-02-25;2022-06-22;60.0;rl;68.0;11250;pave;‘’;ir1;lvl;allpub;inside;gtl;collgcr;norm;norm;1fam;2story;7;5;2001;2002;gable;compshg;vinylsd;vinylsd;brkface;162.0;0.8;0.5;pconc;0.8;0.5;mn;glq;486;unf;0;434;gasa;1.0;1.0;sbrkr;920;866;0;1.0;0;2;1.0;3;1;0.8;6;typ;1;0.5;attchd;2001.0;rfn;2;608;0.5;0.5;1.0;0;42;0;0;0;0;‘’;‘’;0;0;wd;normal;223500.0;2008-09-20;9;2008;920;1786;22
4;2018-02-25;2022-06-23;70.0;rl;60.0;9550;pave;‘’;ir1;lvl;allpub;corner;gtl;crawfor;norm;norm;1fam;2story;7;5;1915;1970;gable;compshg;wd sdng;wd shng;none;0.0;0.5;0.5;brktil;0.5;0.8;no;alq;216;unf;0;540;gasa;0.8;1.0;sbrkr;961;756;0;1.0;0;1;0.0;3;1;0.8;7;typ;1;0.8;detchd;1998.0;unf;3;642;0.5;0.5;1.0;0;35;272;0;0;0;‘’;‘’;0;0;wd;abnorml;140000.0;2006-02-20;2;2006;756;1717;108
5;2018-02-25;2022-06-24;60.0;rl;84.0;14260;pave;‘’;ir1;lvl;allpub;fr2;gtl;noridge;norm;norm;1fam;2story;8;5;2000;2000;gable;compshg;vinylsd;vinylsd;brkface;350.0;0.8;0.5;pconc;0.8;0.5;av;glq;655;unf;0;490;gasa;1.0;1.0;sbrkr;1145;1053;0;1.0;0;2;1.0;4;1;0.8;9;typ;1;0.5;attchd;2000.0;rfn;3;836;0.5;0.5;1.0;192;84;0;0;0;0;‘’;‘’;0;0;wd;normal;250000.0;2008-12-20;12;2008;1145;2198;23
6;2018-02-25;2022-06-25;50.0;rl;85.0;14115;pave;‘’;ir1;lvl;allpub;inside;gtl;mitchel;norm;norm;1fam;1.5fin;5;5;1993;1995;gable;compshg;vinylsd;vinylsd;none;0.0;0.5;0.5;wood;0.8;0.5;no;glq;732;unf;0;64;gasa;1.0;1.0;sbrkr;796;566;0;1.0;0;1;1.0;1;1;0.5;5;typ;0;‘’;attchd;1993.0;unf;2;480;0.5;0.5;1.0;40;30;0;320;0;0;‘’;mnprv;shed;700;wd;normal;143000.0;2009-10-20;10;2009;796;1362;30
7;2018-02-25;2022-06-26;20.0;rl;75.0;10084;pave;‘’;reg;lvl;allpub;inside;gtl;somerst;norm;norm;1fam;1story;8;5;2004;2005;gable;compshg;vinylsd;vinylsd;stone;186.0;0.8;0.5;pconc;1.0;0.5;av;glq;1369;unf;0;317;gasa;1.0;1.0;sbrkr;1694;0;0;1.0;0;2;0.0;3;1;0.8;7;typ;1;0.8;attchd;2004.0;rfn;2;636;0.5;0.5;1.0;255;57;0;0;0;0;‘’;‘’;0;0;wd;normal;307000.0;2007-08-20;8;2007;1686;1694;19
8;2018-02-25;2022-06-27;60.0;rl;0.0;10382;pave;‘’;ir1;lvl;allpub;corner;gtl;nwames;posn;norm;1fam;2story;7;6;1973;1973;gable;compshg;hdboard;hdboard;stone;240.0;0.5;0.5;cblock;0.8;0.5;mn;alq;859;blq;32;216;gasa;1.0;1.0;sbrkr;1107;983;0;1.0;0;2;1.0;3;1;0.5;7;typ;2;0.5;attchd;1973.0;rfn;2;484;0.5;0.5;1.0;235;204;228;0;0;0;‘’;‘’;shed;350;wd;normal;200000.0;2009-11-20;11;2009;1107;2090;50
9;2018-02-25;2022-06-28;50.0;rm;51.0;6120;pave;‘’;reg;lvl;allpub;inside;gtl;oldtown;artery;norm;1fam;1.5fin;7;5;1931;1950;gable;compshg;brkface;wd shng;none;0.0;0.5;0.5;brktil;0.5;0.5;no;unf;0;unf;0;952;gasa;0.8;1.0;fusef;1022;752;0;0.0;0;2;0.0;2;2;0.5;8;min1;2;0.5;detchd;1931.0;unf;2;468;0.2;0.5;1.0;90;0;205;0;0;0;‘’;‘’;0;0;wd;abnorml;129900.0;2008-04-20;4;2008;952;1774;92
10;2018-02-25;2022-06-29;190.0;rl;50.0;7420;pave;‘’;reg;lvl;allpub;corner;gtl;brkside;artery;artery;2fmcon;1.5unf;5;6;1939;1950;gable;compshg;metalsd;metalsd;none;0.0;0.5;0.5;brktil;0.5;0.5;no;glq;851;unf;0;140;gasa;1.0;1.0;sbrkr;1077;0;0;1.0;0;1;0.0;2;2;0.5;5;typ;2;0.5;attchd;1939.0;rfn;1;205;0.8;0.5;1.0;0;4;0;0;0;0;‘’;‘’;0;0;wd;normal;118000.0;2008-01-20;1;2008;991;1077;84
