!Housing prices part 2 csv
!Represents quality of house, area, etc
!
Id|ActiveDate|EndDate|MSSubClass|MSZoning|LotFrontage|LotArea|Street|Alley|LotShape|LandContour|Utilities|LotConfig|LandSlope|Neighborhood|Condition1|Condition2|BldgType|HouseStyle|OverallQual|OverallCond|YearBuilt|YearRemodAdd|RoofStyle|RoofMatl|Exterior1st|Exterior2nd|MasVnrType|MasVnrArea|ExterQual|ExterCond|Foundation|BsmtQual|BsmtCond|BsmtExposure|BsmtFinType1|BsmtFinSF1|BsmtFinType2|BsmtFinSF2|BsmtUnfSF|Heating|HeatingQC|CentralAir|Electrical|1stFlrSF|2ndFlrSF|LowQualFinSF|BsmtFullBath|BsmtHalfBath|FullBath|HalfBath|BedroomAbvGr|KitchenAbvGr|KitchenQual|TotRmsAbvGrd|Functional|Fireplaces|FireplaceQu|GarageType|GarageYrBlt|GarageFinish|GarageCars|GarageArea|GarageQual|GarageCond|PavedDrive|WoodDeckSF|OpenPorchSF|EnclosedPorch|3SsnPorch|ScreenPorch|PoolArea|PoolQC|Fence|MiscFeature|MiscVal|SaleType|SaleCondition|SalePrice|DealCode|DateSold
701|25/02/2018|05/20/2024 12:00:00|20|RL|85|14331|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|Timber|Norm|Norm|1Fam|1Story|8|5|2002|2002|Hip|CompShg|VinylSd|VinylSd|BrkFace|630|Gd|TA|PConc|Ex|TA|Gd|GLQ|1274|Unf|0|526|GasA|Ex|Y|SBrkr|1800|0|0|1|0|2|0|3|1|Gd|7|Typ|1|Gd|Attchd|2002|Fin|3|765|TA|TA|Y|270|78|0|0|0|0|NA|NA|NA|0|WD|Normal|312500,00|N/a|20/5/2006
702|25/02/2018|05/21/2024 12:00:00|20|RL|80|9600|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NWAmes|Norm|Norm|1Fam|1Story|7|5|1969|1969|Hip|CompShg|HdBoard|HdBoard|BrkFace|168|TA|TA|CBlock|TA|TA|No|Unf|0|Unf|0|1164|GasA|TA|Y|SBrkr|1164|0|0|0|0|1|1|3|1|TA|6|Typ|0|NA|Attchd|1969|Unf|2|528|TA|TA|Y|0|0|0|0|0|0|NA|NA|NA|0|COD|Normal|140000,00|N/a|20/7/2006
703|25/02/2018|05/22/2024 12:00:00|60|RL|82|12438|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|StoneBr|Norm|Norm|1Fam|2Story|8|5|2006|2006|Hip|CompShg|VinylSd|VinylSd|BrkFace|466|Ex|TA|PConc|Ex|Gd|No|Unf|0|Unf|0|1234|GasA|Ex|Y|SBrkr|1264|1312|0|0|0|2|1|4|1|Ex|10|Typ|1|Gd|BuiltIn|2006|Fin|3|666|TA|TA|Y|324|100|0|0|0|0|NA|NA|NA|0|New|Partial|361919,00|N/a|20/7/2006
704|25/02/2018|05/23/2024 12:00:00|190|RM|76|7630|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|OldTown|Feedr|Norm|2fmCon|2Story|5|9|1900|1996|Gable|CompShg|Wd Sdng|Wd Sdng|None|0|TA|Gd|BrkTil|Gd|TA|No|Unf|0|Unf|0|360|GasA|Gd|Y|SBrkr|1032|780|0|0|0|2|0|4|2|Gd|8|Typ|1|Po|Detchd|1999|Unf|2|672|TA|TA|N|344|0|40|0|0|0|NA|MnPrv|NA|0|WD|Normal|140000,00|N/a|20/5/2010
705|25/02/2018|05/24/2024 12:00:00|20|RL|70|8400|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|CollgCr|Norm|Norm|1Fam|1Story|7|5|2004|2005|Gable|CompShg|VinylSd|VinylSd|BrkFace|109|Gd|TA|PConc|Gd|TA|Av|GLQ|712|Unf|0|761|GasA|Ex|Y|SBrkr|1484|0|0|1|0|2|0|3|1|Gd|7|Typ|0|NA|Attchd|2004|RFn|2|606|TA|TA|Y|0|35|0|144|0|0|NA|NA|NA|0|WD|Normal|213000,00|N/a|20/5/2010
706|25/02/2018|05/25/2024 12:00:00|190|RM|70|5600|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|IDOTRR|Norm|Norm|2fmCon|2Story|4|5|1930|1950|Hip|CompShg|VinylSd|Wd Shng|None|0|Fa|Fa|Slab|NA|NA|NA|NA|0|NA|0|0|GasA|Fa|N|SBrkr|372|720|0|0|0|2|0|3|2|Fa|7|Mod|0|NA|NA|NA|NA|0|0|NA|NA|N|0|0|0|0|0|0|NA|NA|Othr|3500|WD|Normal|55000,00|N/a|20/7/2010
707|25/02/2018|05/26/2024 12:00:00|20|RL|NA|115149|Pave|NA|IR2|Low|AllPub|CulDSac|Sev|ClearCr|Norm|Norm|1Fam|1Story|7|5|1971|2002|Gable|CompShg|Plywood|Plywood|Stone|351|TA|TA|CBlock|Gd|TA|Gd|GLQ|1219|Unf|0|424|GasA|TA|Y|SBrkr|1824|0|0|1|0|2|0|2|1|Gd|5|Typ|2|TA|Attchd|1971|Unf|2|739|TA|TA|Y|380|48|0|0|0|0|NA|NA|NA|0|WD|Normal|302000,00|N/a|20/6/2007
708|25/02/2018|05/27/2024 12:00:00|120|RL|48|6240|Pave|NA|Reg|Lvl|AllPub|Inside|Gtl|NridgHt|Norm|Norm|TwnhsE|1Story|8|5|2006|2006|Hip|CompShg|MetalSd|MetalSd|BrkFace|176|Gd|TA|PConc|Gd|TA|No|GLQ|863|Unf|0|461|GasA|Ex|Y|SBrkr|1324|0|0|1|0|2|0|2|1|Gd|6|Typ|1|Gd|Attchd|2006|Fin|2|550|TA|TA|Y|192|38|0|0|0|0|NA|NA|NA|0|WD|Normal|254000,00|N/a|20/12/2009
709|25/02/2018|05/28/2024 12:00:00|60|RL|65|9018|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|Gilbert|Norm|Norm|1Fam|2Story|7|5|2007|2007|Hip|CompShg|VinylSd|VinylSd|None|0|Gd|TA|PConc|Gd|TA|Av|Unf|0|Unf|0|728|GasA|Ex|Y|SBrkr|728|728|0|0|0|2|1|3|1|Gd|8|Typ|1|Gd|Attchd|2007|Fin|2|400|TA|TA|Y|100|24|0|0|0|0|NA|NA|NA|0|New|Partial|179540,00|N/a|20/7/2007
710|25/02/2018|05/29/2024 12:00:00|20|RL|NA|7162|Pave|NA|IR1|Lvl|AllPub|Inside|Gtl|Sawyer|Norm|Norm|1Fam|1Story|5|7|1966|1966|Gable|CompShg|HdBoard|HdBoard|BrkCmn|41|TA|TA|PConc|TA|TA|No|Unf|0|Unf|0|876|GasA|TA|Y|SBrkr|904|0|0|0|0|1|0|3|1|TA|6|Typ|0|NA|Attchd|1966|Unf|1|408|TA|TA|Y|0|0|0|0|0|0|NA|MnPrv|NA|0|WD|Abnorml|109900,00|N/a|20/12/2008
